epoch: 250	 loss: -307.7242	 return: -100.16062872947185	 episode_length: 14.04
epoch: 251	 loss: -305.09705	 return: -100.20403089990648	 episode_length: 13.84
epoch: 252	 loss: -319.38046	 return: -103.95471280228217	 episode_length: 13.88
epoch: 253	 loss: -319.2134	 return: -104.10902985927942	 episode_length: 13.54
epoch: 254	 loss: -315.5501	 return: -100.8789616552287	 episode_length: 14.4
epoch: 255	 loss: -307.45163	 return: -100.061400281837	 episode_length: 13.96
epoch: 256	 loss: -319.03165	 return: -103.67520417528358	 episode_length: 13.38
epoch: 257	 loss: -305.34818	 return: -99.57741819329054	 episode_length: 13.6
epoch: 258	 loss: -318.81915	 return: -103.92598726967611	 episode_length: 14.16
epoch: 259	 loss: -302.99936	 return: -96.08604218153135	 episode_length: 13.82
epoch: 260	 loss: -323.2837	 return: -104.36519435158368	 episode_length: 14.14
epoch: 261	 loss: -306.83258	 return: -99.63013672945564	 episode_length: 14.0
epoch: 262	 loss: -314.8999	 return: -100.61515665515921	 episode_length: 14.5
epoch: 263	 loss: -319.41232	 return: -103.80100608772909	 episode_length: 13.66
epoch: 264	 loss: -322.35483	 return: -104.42303328245784	 episode_length: 14.12
epoch: 265	 loss: -305.36523	 return: -99.8160406028619	 episode_length: 14.14
epoch: 266	 loss: -309.408	 return: -100.00248337723296	 episode_length: 14.26
epoch: 267	 loss: -304.80258	 return: -99.79716070175493	 episode_length: 14.22
epoch: 268	 loss: -319.3572	 return: -103.83829398788525	 episode_length: 13.46
epoch: 269	 loss: -314.11618	 return: -104.0730321775356	 episode_length: 13.98
epoch: 270	 loss: -314.8682	 return: -101.00709673765549	 episode_length: 14.46
epoch: 271	 loss: -304.74756	 return: -99.6389379762128	 episode_length: 12.94
epoch: 272	 loss: -306.114	 return: -100.24312055379488	 episode_length: 14.38
epoch: 273	 loss: -320.75	 return: -105.06651487197331	 episode_length: 13.96
epoch: 274	 loss: -304.71777	 return: -99.38759012254124	 episode_length: 13.46
epoch: 275	 loss: -294.189	 return: -95.2769705641685	 episode_length: 12.7
epoch: 276	 loss: -305.56128	 return: -99.52851160852812	 episode_length: 13.04
epoch: 277	 loss: -297.78027	 return: -95.7827389388983	 episode_length: 13.96
epoch: 278	 loss: -284.80624	 return: -92.70642258006332	 episode_length: 13.48
epoch: 279	 loss: -316.02347	 return: -103.47305050070588	 episode_length: 12.94
epoch: 280	 loss: -317.23636	 return: -103.8974746050198	 episode_length: 14.08
epoch: 281	 loss: -312.49255	 return: -100.17517950784287	 episode_length: 13.66
epoch: 282	 loss: -320.8005	 return: -104.11404576350398	 episode_length: 14.26
epoch: 283	 loss: -312.63153	 return: -99.76068195338635	 episode_length: 13.0
epoch: 284	 loss: -301.84787	 return: -99.2905947392528	 episode_length: 12.28
epoch: 285	 loss: -307.3272	 return: -99.78736439232614	 episode_length: 14.14
epoch: 286	 loss: -304.9728	 return: -99.55638784270866	 episode_length: 14.1
epoch: 287	 loss: -301.41586	 return: -98.97606339447624	 episode_length: 12.86
epoch: 288	 loss: -321.1308	 return: -104.29459102774709	 episode_length: 14.04
epoch: 289	 loss: -316.46158	 return: -103.76160565095662	 episode_length: 13.8
epoch: 290	 loss: -304.61777	 return: -99.79551219977645	 episode_length: 14.22
epoch: 291	 loss: -317.1508	 return: -104.12044913503614	 episode_length: 14.36
epoch: 292	 loss: -317.12332	 return: -104.27147604051669	 episode_length: 14.22
epoch: 293	 loss: -293.97012	 return: -95.28548573455222	 episode_length: 13.06
epoch: 294	 loss: -319.85367	 return: -104.3438286208594	 episode_length: 14.1
epoch: 295	 loss: -318.2899	 return: -103.6724580355907	 episode_length: 14.1
epoch: 296	 loss: -308.23306	 return: -99.7891630426731	 episode_length: 13.98
epoch: 297	 loss: -327.99252	 return: -105.5032476652183	 episode_length: 14.7
epoch: 298	 loss: -316.6966	 return: -103.9456263816469	 episode_length: 13.62
epoch: 299	 loss: -290.92993	 return: -95.44739583820088	 episode_length: 13.08
epoch: 300	 loss: -309.01974	 return: -100.5541105886013	 episode_length: 13.62
epoch: 301	 loss: -306.7961	 return: -96.65207193296814	 episode_length: 14.44
epoch: 302	 loss: -313.5741	 return: -103.4367492371351	 episode_length: 13.92
epoch: 303	 loss: -316.79858	 return: -103.90345964497622	 episode_length: 13.76
epoch: 304	 loss: -293.5059	 return: -96.07642473604524	 episode_length: 14.1
epoch: 305	 loss: -311.38843	 return: -103.45273947014397	 episode_length: 13.62
epoch: 306	 loss: -306.13486	 return: -99.69528588660165	 episode_length: 13.6
epoch: 307	 loss: -319.01904	 return: -103.63356138514376	 episode_length: 13.9
epoch: 308	 loss: -277.4481	 return: -91.57665618986901	 episode_length: 13.54
epoch: 309	 loss: -323.83414	 return: -104.2685372868773	 episode_length: 14.84
epoch: 310	 loss: -299.72766	 return: -95.928905233087	 episode_length: 13.7
epoch: 311	 loss: -314.22147	 return: -103.07350453346767	 episode_length: 12.82
epoch: 312	 loss: -315.61343	 return: -103.30506561639442	 episode_length: 13.52
epoch: 313	 loss: -306.65308	 return: -99.90562386908667	 episode_length: 13.34
epoch: 314	 loss: -318.42227	 return: -103.89038220539834	 episode_length: 14.36
epoch: 315	 loss: -333.05875	 return: -105.98507478483752	 episode_length: 14.84
epoch: 316	 loss: -315.63107	 return: -103.26342874254095	 episode_length: 12.7
epoch: 317	 loss: -308.41357	 return: -99.80002839278838	 episode_length: 14.1
epoch: 318	 loss: -322.3123	 return: -104.67579498160603	 episode_length: 14.24
epoch: 319	 loss: -312.85516	 return: -103.24268030176084	 episode_length: 13.62
epoch: 320	 loss: -309.16776	 return: -99.53746071093427	 episode_length: 13.38
epoch: 321	 loss: -319.28036	 return: -103.92032173718106	 episode_length: 14.12
epoch: 322	 loss: -315.1892	 return: -102.99924510908899	 episode_length: 13.72
epoch: 323	 loss: -316.11478	 return: -104.09939012710089	 episode_length: 14.12
epoch: 324	 loss: -321.89594	 return: -104.04392017000602	 episode_length: 14.16
epoch: 325	 loss: -295.4028	 return: -95.70094913055196	 episode_length: 14.34
epoch: 326	 loss: -314.92288	 return: -103.70386054310802	 episode_length: 13.66
epoch: 327	 loss: -289.24844	 return: -95.14865627703017	 episode_length: 13.94
epoch: 328	 loss: -313.43774	 return: -103.23944903880428	 episode_length: 13.7
epoch: 329	 loss: -318.78476	 return: -103.39757945956504	 episode_length: 13.52
epoch: 330	 loss: -308.39398	 return: -101.13007563592106	 episode_length: 14.84
epoch: 331	 loss: -309.9114	 return: -100.03452219621964	 episode_length: 13.42
epoch: 332	 loss: -302.6954	 return: -99.28337018616638	 episode_length: 13.2
epoch: 333	 loss: -324.58133	 return: -104.77264764983445	 episode_length: 14.34
epoch: 334	 loss: -315.4699	 return: -103.58364544940005	 episode_length: 14.1
epoch: 335	 loss: -330.6415	 return: -104.90134420099463	 episode_length: 14.02
epoch: 336	 loss: -304.16522	 return: -100.01573907630012	 episode_length: 13.98
epoch: 337	 loss: -316.26785	 return: -103.68477322542014	 episode_length: 13.82
epoch: 338	 loss: -299.112	 return: -99.35777020468406	 episode_length: 13.88
epoch: 339	 loss: -319.5892	 return: -103.6064990445992	 episode_length: 14.16
